atshoʁ atshoR1
ndzoʁ _ndzoR1
atsɯtsu _atsMtsu1
tsu _tsu
sɤtʂoʁloʁ _s7ts`oRloR
atu atu
nɤtu n7tu
nɤtɯɣ _n7tMG
ʑɣɤnɤtɯɣ z\G7n7tMG
znɤtɯɣ _zn7tMG
ʑɣɤsɤtɯɣ _z\G7s7tMG
atɯta _atMta1
sɤtɯta _s7tMta
awij _awij1
sɤwij _s7wij
awɯwum _awMwum1
wum _wum1
axtɕɯxte _axts\Mxte1
xtɕi _xts\i1
mɯxte _mMxte1
axthom axthom1
xthom _xthom1
aχa _aXa1
ɕɣɤχa s\G7Xa
sɤχa _s7Xa
aχɕɯβ _aXs\MB1
saχɕɯβ _saXs\MB
aχɕɯldɤn _aXs\Mld7n1
χɕɯldɤn Xs\Mld7n
aχom _aXom
aχpɯχpjɤt aXpMXpj7t1
χpjɤt _Xpj7t1
aχsi _aXsi1
saχsi _saXsi1
aχsom _aXsom1
saχsom _saXsom
aχsɯko _aXsMko1
saχsɯko _saXsMko
aχtɕɤz aXts\7z
azbraʁ azbraR1
zbraʁ _zbraR
azdaʁ _azdaR1
sɤzdaʁ _s7zdaR
azgroʁ azgroR1
zgroʁ1 _zgroR1
azgɯr _azgMr1
azgɯrloʁ _azgMrloR
ɯ-zgɯr M-zgMr
azɣɤʁrɯʁre azG7RrMRre1
ɣɤʁre _G7Rre1
azmɯjqhɯjqha _azmMjqhMjqha
qha _qha1
aznɤltɕɯltɕɤm azn7lts\Mlts\7m1
znɤltɕɤm _zn7lts\7m
aʑaʁ _az\aR
ʑɤwu z\7wu
aʑɴɢɯʑɴɢoʁ az\N\G\Mz\N\G\oR1
ʑɴɢoʁ _z\N\G\oR
aʑɯrja _az\Mrja1
sɤʑɯrja _s7z\Mrja
aʑɯχtso _az\MXtso1
χtso _Xtso
sɤʑɯχtso _s7z\MXtso
aʑɯʑu _az\Mz\u1
nɤʑɯʑu _n7z\Mz\u
babɯ babM1
bɤbɤβ b7b7B1
bɤβ b7B
bɤβnɤbɤβ b7Bn7b7B
nɯbɤβ _nMb7B
ɣɤbɤbɤβ _G7b7b7B
bjɯbjɯɣ bjMbjMG1
lbjɯlbjɯɣ lbjMlbjMG
boŋboŋ boNboN
boʁboʁ boRboR
